Date,US,Dev_exUS,EM,BTC
2020-08-11,3333.68994140625,38.02104187011719,39.561038970947266,11410.525390625
2020-08-12,3380.35009765625,38.870277404785156,40.09320831298828,11584.9345703125
2020-08-13,3373.429931640625,38.64027404785156,39.975948333740234,11784.1376953125
2020-08-14,3372.85009765625,38.22450637817383,39.90378952026367,11768.87109375
2020-08-17,3381.989990234375,38.52528381347656,40.40889358520508,12254.40234375
2020-08-18,3389.780029296875,38.50758361816406,40.36379623413086,11991.2333984375
2020-08-19,3374.85009765625,38.383731842041016,39.867706298828125,11758.283203125
2020-08-20,3385.510009765625,38.277587890625,39.741432189941406,11878.3720703125
2020-08-21,3397.159912109375,37.92373275756836,39.93986511230469,11592.4892578125
2020-08-24,3431.280029296875,38.52528381347656,40.381839752197266,11774.595703125
2020-08-25,3443.6201171875,38.613739013671875,40.7877311706543,11366.134765625
2020-08-26,3478.72998046875,38.92335891723633,40.89597702026367,11488.36328125
2020-08-27,3484.550048828125,38.41911697387695,40.55321502685547,11323.3974609375
2020-08-28,3508.010009765625,38.702205657958984,41.08538055419922,11542.5
2020-08-31,3500.31005859375,38.339508056640625,40.17438507080078,11680.8203125
2020-09-01,3526.64990234375,38.2952766418457,40.85988235473633,11970.478515625
2020-09-02,3580.840087890625,38.905662536621094,40.75165557861328,11414.0341796875
2020-09-03,3455.06005859375,37.976810455322266,39.975948333740234,10245.296875
2020-09-04,3426.9599609375,38.06527328491211,39.993988037109375,10511.8134765625
2020-09-08,3331.840087890625,37.52565002441406,39.2994499206543,10131.5166015625
2020-09-09,3398.9599609375,38.41911697387695,39.88574981689453,10242.34765625
2020-09-10,3339.18994140625,37.897193908691406,39.24533462524414,10363.138671875
2020-09-11,3340.969970703125,38.28642272949219,39.62417221069336,10400.9150390625
2020-09-14,3383.5400390625,38.3748893737793,40.26457595825195,10680.837890625
2020-09-15,3401.199951171875,38.64027404785156,40.68852233886719,10796.951171875
2020-09-16,3385.489990234375,38.596046447753906,40.634395599365234,10974.9052734375
2020-09-17,3357.010009765625,38.68450927734375,40.4720344543457,10948.990234375
2020-09-18,3319.469970703125,38.33066177368164,40.156341552734375,10944.5859375
2020-09-21,3281.06005859375,37.145267486572266,39.78653335571289,10462.259765625
2020-09-22,3315.570068359375,37.0479621887207,39.48887634277344,10538.4599609375
2020-09-23,3236.919921875,36.5791015625,38.875526428222656,10246.1865234375
2020-09-24,3246.590087890625,36.517181396484375,38.69512939453125,10760.06640625
2020-09-25,3298.4599609375,36.57026290893555,38.73120880126953,10692.716796875
2020-09-28,3351.60009765625,37.242576599121094,39.16415786743164,10709.65234375
2020-09-29,3335.469970703125,37.233734130859375,39.1370964050293,10844.640625
2020-09-30,3363.0,37.030269622802734,39.76848602294922,10784.4912109375
2020-10-01,3380.800048828125,37.29566192626953,40.138301849365234,10619.4521484375
2020-10-02,3348.419921875,37.30449676513672,39.67829513549805,10575.974609375
2020-10-05,3408.60009765625,37.9591178894043,40.21046447753906,10793.33984375
2020-10-06,3360.969970703125,37.4106559753418,40.28261947631836,10604.40625
2020-10-07,3419.43994140625,37.73796081542969,40.72459030151367,10668.96875
2020-10-08,3446.830078125,38.10066223144531,41.05832290649414,10915.685546875
2020-10-09,3477.139892578125,38.45450973510742,41.33794403076172,11064.4580078125
2020-10-12,3534.219970703125,38.71104431152344,41.698734283447266,11555.36328125
2020-10-13,3511.929931640625,38.15373611450195,41.52735900878906,11425.8994140625
2020-10-14,3488.669921875,38.00334548950195,41.24774169921875,11429.5068359375
2020-10-15,3483.340087890625,37.437191009521484,40.95009231567383,11495.349609375
2020-10-16,3483.81005859375,37.773345947265625,41.09440994262695,11322.123046875
2020-10-19,3426.919921875,37.56988525390625,40.977149963378906,11742.037109375
2020-10-20,3443.1201171875,37.87950897216797,41.42814254760742,11916.3349609375
2020-10-21,3435.56005859375,37.45487976074219,41.54540252685547,12823.689453125
2020-10-22,3453.489990234375,37.46372985839844,41.536373138427734,12965.8916015625
2020-10-23,3465.389892578125,37.84412384033203,41.7799186706543,12931.5390625
2020-10-26,3400.969970703125,36.98603820800781,41.23872375488281,13075.248046875
2020-10-27,3390.679931640625,36.47295379638672,41.41912078857422,13654.21875
2020-10-28,3271.030029296875,35.07525634765625,40.381839752197266,13271.28515625
2020-10-29,3310.110107421875,35.17256164550781,40.7877311706543,13437.8828125
2020-10-30,3269.9599609375,35.03986740112305,40.327720642089844,13546.5224609375
2020-11-02,3310.239990234375,35.57948303222656,40.841854095458984,13550.4892578125
2020-11-03,3369.159912109375,36.64988327026367,41.02224349975586,13950.30078125
2020-11-04,3443.43994140625,37.162960052490234,42.31208419799805,14133.70703125
2020-11-05,3510.449951171875,38.056434631347656,43.0336799621582,15579.8486328125
2020-11-06,3509.43994140625,38.18027114868164,43.23210906982422,15565.880859375
2020-11-09,3550.5,39.31258773803711,43.52976608276367,15332.3154296875
2020-11-10,3545.530029296875,39.90528869628906,43.0336799621582,15290.90234375
2020-11-11,3572.659912109375,40.29452133178711,43.313289642333984,15701.33984375
2020-11-12,3537.010009765625,39.701820373535156,42.98857116699219,16276.34375
2020-11-13,3585.14990234375,40.32106399536133,43.59290313720703,16317.80859375
2020-11-16,3626.909912109375,40.70144271850586,44.134098052978516,16716.111328125
2020-11-17,3609.530029296875,40.64836883544922,44.0889892578125,17645.40625
2020-11-18,3567.7900390625,40.427215576171875,43.9356575012207,17804.005859375
2020-11-19,3581.8701171875,40.71913528442383,44.007816314697266,17817.08984375
2020-11-20,3557.5400390625,40.66606521606445,44.25135803222656,18621.314453125
2020-11-23,3577.590087890625,40.63067626953125,44.36861038208008,18364.12109375
2020-11-24,3635.409912109375,41.267608642578125,44.96391677856445,19107.46484375
2020-11-25,3629.64990234375,41.276451110839844,44.711360931396484,18732.12109375
2020-11-27,3638.35009765625,41.42683792114258,45.13529968261719,17108.40234375
2020-11-30,3621.6298828125,40.74567794799805,43.953697204589844,19625.8359375
2020-12-01,3662.449951171875,41.745304107666016,44.81959915161133,18802.998046875
2020-12-02,3669.010009765625,41.79838180541992,44.88273620605469,19201.091796875
2020-12-03,3666.719970703125,41.83376693725586,45.39686965942383,19445.3984375
2020-12-04,3699.1201171875,42.205299377441406,45.865901947021484,18699.765625
2020-12-07,3691.9599609375,41.98414993286133,45.865901947021484,19191.630859375
2020-12-08,3702.25,42.152225494384766,45.88394546508789,18321.14453125
2020-12-09,3672.820068359375,42.13453674316406,45.4870719909668,18553.916015625
2020-12-10,3668.10009765625,42.08145523071289,46.07335662841797,18264.9921875
2020-12-11,3663.4599609375,41.824913024902344,45.7486457824707,18058.904296875
2020-12-14,3647.489990234375,41.79640197753906,45.51079177856445,19246.64453125
2020-12-15,3694.6201171875,42.37566375732422,46.002899169921875,19417.076171875
2020-12-16,3701.169921875,42.57172393798828,46.221614837646484,21310.59765625
2020-12-17,3722.47998046875,42.910377502441406,46.52234649658203,22805.162109375
2020-12-18,3709.409912109375,42.749961853027344,46.46766662597656,23137.9609375
2020-12-21,3694.919921875,42.028106689453125,45.784183502197266,22803.08203125
2020-12-22,3687.260009765625,41.98354721069336,45.41967010498047,23783.029296875
2020-12-23,3690.010009765625,42.48260498046875,45.884422302246094,23241.345703125
2020-12-24,3703.06005859375,42.56281280517578,45.68394088745117,23735.94921875
2020-12-28,3735.360107421875,42.901458740234375,45.8115234375,27084.80859375
2020-12-29,3727.0400390625,43.15099334716797,46.4950065612793,27362.4375
2020-12-30,3732.0400390625,43.1599006652832,47.11470031738281,28840.953125
2020-12-31,3756.070068359375,42.70540237426758,47.08734893798828,29001.720703125
2021-01-04,3700.64990234375,43.1599006652832,47.388084411621094,31971.9140625
2021-01-05,3726.860107421875,43.54311752319336,48.527225494384766,33992.4296875
2021-01-06,3748.139892578125,44.140201568603516,48.11713409423828,36824.36328125
2021-01-07,3803.7900390625,44.20259094238281,48.572792053222656,39371.04296875
2021-01-08,3824.679931640625,44.47885513305664,49.85774230957031,40797.609375
2021-01-11,3799.610107421875,43.80155563354492,49.18336868286133,35566.65625
2021-01-12,3801.18994140625,43.97978973388672,49.666358947753906,33922.9609375
2021-01-13,3809.840087890625,43.81046676635742,49.77572250366211,37316.359375
2021-01-14,3795.5400390625,44.09564208984375,50.24048614501953,39187.328125
2021-01-15,3768.25,43.43617248535156,49.529666900634766,36825.3671875
2021-01-19,3798.909912109375,43.748085021972656,50.34983825683594,36069.8046875
2021-01-20,3851.85009765625,44.00653076171875,51.23381423950195,35547.75
2021-01-21,3853.070068359375,44.15802764892578,51.324951171875,30825.69921875
2021-01-22,3841.469970703125,43.83720016479492,50.87841033935547,33005.76171875
2021-01-25,3855.360107421875,43.56985092163086,51.26115417480469,32366.392578125
2021-01-26,3849.6201171875,43.76591110229492,50.887516021728516,32569.849609375
2021-01-27,3750.77001953125,42.66975784301758,49.47499084472656,30432.546875
2021-01-28,3787.3798828125,43.02622604370117,49.82128143310547,33466.09765625
2021-01-29,3714.239990234375,42.090492248535156,48.5819091796875,34316.38671875
2021-02-01,3773.860107421875,42.66083908081055,49.89419174194336,33537.17578125
2021-02-02,3826.31005859375,43.0618782043457,50.54121780395508,35510.2890625
2021-02-03,3830.169921875,43.14208221435547,50.79639434814453,37472.08984375
2021-02-04,3871.739990234375,43.14208221435547,50.81460952758789,36926.06640625
2021-02-05,3886.830078125,43.43617248535156,51.252037048339844,38144.30859375
2021-02-08,3915.590087890625,43.552024841308594,51.343170166015625,46196.46484375
2021-02-09,3911.22998046875,43.84611892700195,51.889957427978516,46481.10546875
2021-02-10,3909.8798828125,43.685699462890625,52.07221221923828,44918.18359375
2021-02-11,3916.3798828125,43.97978973388672,52.628116607666016,47909.33203125
2021-02-12,3934.830078125,44.28279113769531,52.673683166503906,47504.8515625
2021-02-16,3932.590087890625,44.68382263183594,52.801273345947266,49199.87109375
2021-02-17,3931.330078125,44.29170608520508,52.819496154785156,52149.0078125
2021-02-18,3913.969970703125,44.16694259643555,52.09044647216797,51679.796875
2021-02-19,3906.7099609375,44.25606155395508,52.42762756347656,55888.1328125
2021-02-22,3876.5,44.16694259643555,50.887516021728516,54207.3203125
2021-02-23,3881.3701171875,44.17585372924805,51.11534881591797,48824.42578125
2021-02-24,3925.429931640625,44.54123306274414,50.78727340698242,49705.33203125
2021-02-25,3829.340087890625,43.81046676635742,49.62990951538086,47093.8515625
2021-02-26,3811.14990234375,43.3114013671875,48.96465301513672,46339.76171875
2021-03-01,3901.820068359375,44.05999755859375,50.276939392089844,49631.2421875
2021-03-02,3870.2900390625,44.20259094238281,49.78483581542969,48378.98828125
2021-03-03,3819.719970703125,43.84611892700195,49.684593200683594,50538.2421875
2021-03-04,3768.469970703125,43.4539909362793,48.527225494384766,48561.16796875
2021-03-05,3841.93994140625,43.703529357910156,49.0557861328125,48927.3046875
2021-03-08,3821.35009765625,43.72135543823242,47.7343864440918,52246.5234375
2021-03-09,3875.43994140625,44.30060958862305,48.78240203857422,54824.1171875
2021-03-10,3898.81005859375,44.64817428588867,48.56367874145508,56008.55078125
2021-03-11,3939.340087890625,45.01355743408203,50.09467697143555,57805.12109375
2021-03-12,3943.340087890625,45.0492057800293,49.201602935791016,57332.08984375
2021-03-15,3968.93994140625,44.96009826660156,49.320068359375,55907.19921875
2021-03-16,3962.7099609375,45.00464630126953,49.529666900634766,56804.90234375
2021-03-17,3974.1201171875,45.22744369506836,49.59346008300781,58870.89453125
2021-03-18,3915.4599609375,44.68382263183594,48.682151794433594,57858.921875
2021-03-19,3913.10009765625,44.73729705810547,49.28361511230469,58346.65234375
2021-03-22,3940.590087890625,44.897708892822266,49.13780212402344,54529.14453125
